Team,Position,Last Name,First Name,Overall
BAL,FS,WEBB,LARDARIUS,79
BAL,RCB,SMITH,JIMMY,81
BAL,P,KOCH,SAM,84
BAL,H,KOCH,SAM,84
BAL,PK,TUCKER,JUSTIN,83
BAL,KO,TUCKER,JUSTIN,83
BAL,LS,COX,MORGAN,40
BAL,PS,BROWN,DANIEL,61
BAL,SUS,BOYLE,NICK,76
BAL,RES,TALIAFERRO,LORENZO,73
BUF,LWR,WATKINS,SAMMY,87
BUF,RWR,WOODS,ROBERT,73
BUF,LT,GLENN,CORDY,89
BUF,LG,INCOGNITO,RICHIE,90
BUF,C,WOOD,ERIC,81
BUF,RG,MILLER,JOHN,69
BUF,RT,MILLS,JORDAN,73
BUF,TE,CLAY,CHARLES,84
BUF,QB,TAYLOR,TYROD,82
BUF,FB,FELTON,JEROME,73
BUF,RB,MCCOY,LESEAN,86
BUF,DT,WILLIAMS,KYLE,82
BUF,NT,BRYANT,CORBIN,71
BUF,DE,WASHINGTON,ADOLPHUS,70
BUF,OLB,HUGHES,JERRY,88
BUF,WLB,BROWN,ZACH,82
BUF,MLB,BROWN,PRESTON,73
BUF,OLB,ALEXANDER,LORENZO,72
BUF,RCB,DARBY,RONALD,83
BUF,SS,WILLIAMS,AARON,77
BUF,FS,GRAHAM,COREY,82
BUF,LCB,GILMORE,STEPHON,85
BUF,P,SCHMIDT,COLTON,77
BUF,H,SCHMIDT,COLTON,77
BUF,PK,CARPENTER,DAN,79
BUF,KO,CARPENTER,DAN,79
BUF,LS,SANBORN,GARRISON,54
BUF,PR,BUSH,REGGIE,74
BUF,KR,BUSH,REGGIE,74
BUF,PS,VALLES,MAX,59
BUF,SUS,DAREUS,MARCELL,88
BUF,RES,THOMAS,PHILLIP,68
BUF,RES,RAGLAND,REGGIE,74
BUF,RES,JOHNSON,RANDELL,67
CAR,LWR,BENJAMIN,KELVIN,83
CAR,RWR,GINN,TED,77
CAR,PR,GINN,TED,77
CAR,KR,GINN,TED,77
CAR,LT,OHER,MICHAEL,78
CAR,LG,NORWELL,ANDREW,83
CAR,C,KALIL,RYAN,89
CAR,RG,TURNER,TRAI,87
CAR,RT,REMMERS,MIKE,76
CAR,TE,OLSEN,GREG,93
CAR,QB,NEWTON,CAM,94
CAR,RB,STEWART,JONATHAN,87
CAR,FB,TOLBERT,MIKE,78
CAR,LDE,JOHNSON,CHARLES,82
CAR,LDT,LOTULELEI,STAR,79
CAR,RDT,SHORT,KAWANN,92
CAR,RDE,EALY,KONY,79
CAR,SLB,THOMPSON,SHAQ,75
CAR,MLB,KUECHLY,LUKE,99
CAR,WLB,DAVIS,THOMAS,88
CAR,LCB,BRADBERRY,JAMES,70
CAR,SS,COLEMAN,KURT,87
CAR,FS,BOSTON,TRE,78
CAR,RCB,WORLEY,DARYL,68
CAR,PK,GANO,GRAHAM,85
CAR,KO,GANO,GRAHAM,85
CAR,LS,JANSEN,JJ,44
CAR,PS,BALL,MARCUS,65
CAR,PS,SANCHEZ,ZACK,64
CAR,RES,ALECXIH,CHAS,60
CAR,RES,NORWOOD,KEVIN,68
CAR,SUS,SCOTT,CHRIS,70
CHI,LWR,JEFFERY,ALSHON,91
CHI,RWR,WHITE,KEVIN,74
CHI,LT,LENO,CHARLES,68
CHI,LG,SITTON,JOSH,91
CHI,C,LARSEN,TED,67
CHI,RG,LONG,KYLE,79
CHI,RT,MASSIE,BOBBY,75
CHI,TE,MILLER,ZACH,78
CHI,FB,LASIKE,PAUL,66
CHI,QB,CUTLER,JAY,80
CHI,RB,LANGFORD,JEREMY,76
CHI,DE,HICKS,AKIEM,78
CHI,NT,GOLDMAN,EDDIE,76
CHI,DE,UNREIN,MITCH,68
CHI,LOLB,HOUSTON,LAMARR,81
CHI,LILB,FREEMAN,JERRELL,86
CHI,RILB,TREVATHAN,DANNY,85
CHI,ROLB,YOUNG,WILLIE,82
CHI,LCB,PORTER,TRACY,72
CHI,SS,JONES-QUARTEY,HAROLD,71
CHI,FS,AMOS,ADRIAN,77
CHI,RCB,FULLER,KYLE,80
CHI,P,O'DONNELL,PAT,80
CHI,H,O'DONNELL,PAT,80
CHI,LS,SCALES,PATRICK,40
CHI,PR,ROYAL,EDDIE,77
CHI,KR,THOMPSON,DEONTE,64
CHI,PS,WEAVER,JASON,65
CHI,RES,BOYKIN,BRANDON,71
CHI,RES,BARROW,LAMIN,64
CIN,LWR,GREEN,AJ,93
CIN,RWR,LAFELL,BRANDON,77
CIN,LT,WHITWORTH,ANDREW,93
CIN,LG,BOLING,CLINT,81
CIN,C,BODINE,RUSSELL,69
CIN,RG,ZEITLER,KEVIN,89
CIN,RT,OGBUEHI,CEDRIC,74
CIN,TE,EIFERT,TYLER,90
CIN,TE/HB,HEWITT,RYAN,74
CIN,QB,DALTON,ANDY,87
CIN,RB,HILL,JEREMY,81
CIN,LDE,DUNLAP,CARLOS,87
CIN,NT,PEKO,DOMATA,73
CIN,RDT,ATKINS,GENO,94
CIN,RDE,JOHNSON,MICHAEL,79
CIN,SLB,DANSBY,KARLOS,83
CIN,MLB,MAUALUGA,REY,84
CIN,WLB,REY,VINCENT,75
CIN,LCB,KIRKPATRICK,DRE,76
CIN,SS,WILLIAMS,SHAWN,75
CIN,FS,ILOKA,GEORGE,84
CIN,RCB,JONES,ADAM,88
CIN,PR,JONES,ADAM,88
CIN,KR,JONES,ADAM,88
CIN,P,HUBER,KEVIN,77
CIN,H,HUBER,KEVIN,77
CIN,PK,NUGENT,MIKE,80
CIN,KO,NUGENT,MIKE,80
CIN,LS,HARRIS,CLARK,56
CIN,PS,BROWN,RYAN,59
CIN,RES,BILLINGS,ANDREW,67
CIN,SUS,BURFICT,VONTAZE,88
CLE,LWR,COLEMAN,COREY,78
CLE,RWR,PRYOR,TERRELLE,60
CLE,LT,THOMAS,JOE,97
CLE,LG,BITONIO,JOEL,83
CLE,C,ERVING,CAMERON,68
CLE,RG,GRECO,JOHN,77
CLE,RT,PASZTOR,AUSTIN,71
CLE,TE,BARNIDGE,GARY,84
CLE,QB,MCCOWN,JOSH,71
CLE,RB,CROWELL,ISAIAH,76
CLE,FB,JOHNSON,MALCOLM,61
CLE,RDE,COOPER,XAVIER,62
CLE,NT,SHELTON,DANNY,72
CLE,LDE,HUGHES,JOHN,70
CLE,OLB,OGBAH,EMMANUEL,72
CLE,LILB,DAVIS,DEMARIO,76
CLE,RILB,KIRKSEY,CHRISTIAN,74
CLE,OLB,SCHOBERT,JOE,65
CLE,LCB,HADEN,JOE,86
CLE,SS,CAMPBELL,IBRAHEIM,70
CLE,FS,POYER,JORDAN,70
CLE,RCB,TAYLOR,JAMAR,70
CLE,PK,MURRAY,PATRICK,72
CLE,LS,HUGHLETT,CHARLEY,51
CLE,PR,WILLIAMS,TRAMON,80
CLE,KR,JOHNSON,DUKE,78
CLE,RES,BRYANT,DESMOND,77
CLE,RES,WINSTON,GLENN,64
CLE,RES,BRYANT,ARMONTY,70
DAL,LWR,BRYANT,DEZ,90
DAL,RWR,WILLIAMS,TERRANCE,80
DAL,LT,SMITH,TYRON,97
DAL,C,FREDERICK,TRAVIS,91
DAL,RG,MARTIN,ZACK,92
DAL,RT,FREE,DOUG,80
DAL,TE,WITTEN,JASON,87
DAL,QB,PRESCOTT,DAK,71
DAL,RB,ELLIOTT,EZEKIEL,80
DAL,FB,SMITH,ROD,66
DAL,LDE,CRAWFORD,JACK,64
DAL,LDT,CRAWFORD,TYRONE,80
DAL,RDT,MCCLAIN,TERRELL,73
DAL,RDE,MAYOWA,BENSON,68
DAL,SLB,GACHKAR,ANDREW,71
DAL,MLB,HITCHENS,ANTHONY,74
DAL,WLB,LEE,SEAN,89
DAL,LCB,CARR,BRANDON,76
DAL,FS,JONES,BYRON,81
DAL,SS,CHURCH,BARRY,82
DAL,RCB,CLAIBORNE,MORRIS,70
DAL,NB,SCANDRICK,ORLANDO,87
DAL,P,JONES,CHRIS,82
DAL,H,JONES,CHRIS,82
DAL,PK,BAILEY,DAN,85
DAL,LS,LADOUCEUR,LP,48
DAL,PR,WHITEHEAD,LUCKY,71
DAL,KR,WHITEHEAD,LUCKY,71
DAL,PS,BRENDEL,JAKE,60
DAL,SUS,LAWRENCE,DEMARCUS,81
DAL,RES,MCFADDEN,DARREN,79
DAL,RES,BROWN,CHRIS,62
DEN,LWR,THOMAS,DEMARYIUS,87
DEN,RWR,SANDERS,EMMANUEL,88
DEN,LT,OKUNG,RUSSELL,82
DEN,LG,GARCIA,MAX,70
DEN,C,PARADIS,MATT,71
DEN,RG,SCHOFIELD,MICHAEL,68
DEN,RT,STEPHENSON,DONALD,72
DEN,TE,GREEN,VIRGIL,79
DEN,QB,SIEMIAN,TREVOR,60
DEN,RB,ANDERSON,CJ,84
DEN,FB,JANOVICH,ANDY,67
DEN,LDE,WOLFE,DEREK,86
DEN,NT,WILLIAMS,SYLVESTER,74
DEN,RDE,CRICK,JARED,70
DEN,SLB,MILLER,VON,99
DEN,ILB,MARSHALL,BRANDON,90
DEN,ILB,DAVIS,TODD,64
DEN,WLB,WARE,DEMARCUS,86
DEN,LCB,TALIB,AQIB,90
DEN,SS,WARD,TJ,85
DEN,FS,STEWART,DARIAN,86
DEN,P,DIXON,RILEY,72
DEN,H,DIXON,RILEY,72
DEN,PK,MCMANUS,BRANDON,82
DEN,KO,MCMANUS,BRANDON,82
DEN,LS,KREITER,CASEY,40
DEN,PR,NORWOOD,JORDAN,70
DEN,KR,LATIMER,CODY,68
DEN,PS,MURRAY,JUSTIN,60
DEN,RES,BRENNER,SAM,68
DEN,SUS,KEO,SHILOH,71
DET,LWR,TATE,GOLDEN,89
DET,PR,TATE,GOLDEN,89
DET,RWR,JONES,MARVIN,82
DET,SWR,BOLDIN,ANQUAN,79
DET,LT,DECKER,TAYLOR,76
DET,LG,TOMLINSON,LAKEN,69
DET,C,SWANSON,TRAVIS,67
DET,RG,WARFORD,LARRY,74
DET,RT,REIFF,RILEY,83
DET,TE,EBRON,ERIC,76
DET,QB,STAFFORD,MATTHEW,85
DET,RB,ABDULLAH,AMEER,78
DET,KR,ABDULLAH,AMEER,78
DET,LDE,TAYLOR,DEVIN,72
DET,LDT,WALKER,TYRUNN,72
DET,RDT,NGATA,HALOTI,82
DET,OLB,LEVY,DEANDRE,87
DET,MLB,WHITEHEAD,TAHIR,83
DET,LCB,SLAY,DARIUS,90
DET,SS,WILSON,TAVON,73
DET,FS,QUIN,GLOVER,83
DET,RCB,LAWSON,NEVIN,70
DET,P,MARTIN,SAM,80
DET,H,MARTIN,SAM,80
DET,KO,MARTIN,SAM,80
DET,PK,PRATER,MATT,81
DET,LS,MUHLBACH,DON,50
DET,RES,PETTIGREW,BRANDON,74
GB,LWR,NELSON,JORDY,89
GB,RWR,COBB,RANDALL,86
GB,LT,BAKHTIARI,DAVID,79
GB,LG,TAYLOR,LANE,67
GB,C,TRETTER,JC,76
GB,RG,LANG,TJ,91
GB,RT,BULAGA,BRYAN,79
GB,TE,RODGERS,RICHARD,79
GB,QB,RODGERS,AARON,96
GB,FB,RIPKOWSKI,AARON,71
GB,RB,LACY,EDDIE,83
GB,LDE,LOWRY,DEAN,65
GB,NT,GUION,LETROY,73
GB,DT,DANIELS,MIKE,92
GB,LOLB,PEPPERS,JULIUS,86
GB,LILB,RYAN,JAKE,70
GB,MLB,MARTINEZ,BLAKE,67
GB,ROLB,MATTHEWS,CLAY,89
GB,LCB,RANDALL,DAMARIOUS,76
GB,SS,BURNETT,MORGAN,85
GB,RCB,SHIELDS,SAM,86
GB,PK,CROSBY,MASON,81
GB,PR,HYDE,MICAH,80
GB,KR,HYDE,MICAH,80
GB,PS,ALLISON,GERONIMO,61
GB,RES,KUDER,TYLER,58
GB,SUS,GOODSON,DEMETRI,68
HOU,LWR,HOPKINS,DEANDRE,93
HOU,RWR,FULLER,WILL,74
HOU,LT,BROWN,DUANE,86
HOU,LG,SU'A-FILO,XAVIER,71
HOU,C,MANCZ,GREG,63
HOU,RG,ALLEN,JEFF,78
HOU,RT,NEWTON,DEREK,82
HOU,TE,FIEDOROWICZ,CJ,77
HOU,QB,OSWEILER,BROCK,77
HOU,FB,PROSCH,JAY,81
HOU,RB,MILLER,LAMAR,88
HOU,RDE,WATT,JJ,99
HOU,NT,WILFORK,VINCE,84
HOU,LDE,COVINGTON,CHRISTIAN,66
HOU,SLB,MERCILUS,WHITNEY,88
HOU,LILB,CUSHING,BRIAN,81
HOU,RILB,MCKINNEY,BENARDRICK,77
HOU,OLB,CLOWNEY,JADEVEON,83
HOU,LCB,JACKSON,KAREEM,78
HOU,SS,DEMPS,QUINTIN,75
HOU,FS,HAL,ANDRE,77
HOU,RCB,JOSEPH,JOHNATHAN,91
HOU,P,LECHLER,SHANE,77
HOU,H,LECHLER,SHANE,77
HOU,PK,NOVAK,NICK,81
HOU,PR,ERVIN,TYLER,67
HOU,KR,ERVIN,TYLER,67
HOU,RES,MARTIN,NICK,73
IND,LWR,MONCRIEF,DONTE,78
IND,RWR,HILTON,TY,89
IND,LT,CASTONZO,ANTHONY,81
IND,LG,MEWHORT,JACK,85
IND,C,KELLY,RYAN,76
IND,RG,GOOD,DENZELLE,69
IND,RT,REITZ,JOE,79
IND,TE,ALLEN,DWAYNE,80
IND,TE,DOYLE,JACK,72
IND,QB,LUCK,ANDREW,88
IND,RB,GORE,FRANK,79
IND,LDE,LANGFORD,KENDALL,80
IND,NT,PARRY,DAVID,68
IND,DT,KERR,ZACH,73
IND,SLB,WALDEN,ERIK,78
IND,ILB/W,MOORE,SIO,72
IND,OLB/R,MATHIS,ROBERT,83
IND,LCB,ROBINSON,PATRICK,78
IND,SS,ADAMS,MIKE,78
IND,FS,GEATHERS,CLAYTON,70
IND,RCB,DAVIS,VONTAE,91
IND,P,MCAFEE,PAT,86
IND,H,MCAFEE,PAT,86
IND,KO,MCAFEE,PAT,86
IND,PK,VINATIERI,ADAM,84
IND,LS,OVERTON,MATT,43
IND,PR,BRAY,QUAN,64
IND,KR,BRAY,QUAN,64
IND,PS,BAILEY,STERLING,59
IND,PS,VUJNOVICH,JEREMY,63
IND,SUS,JONES,ARTHUR,71
JAX,LWR,ROBINSON,ALLEN,88
JAX,RWR,HURNS,ALLEN,85
JAX,LT,BEACHUM,KELVIN,82
JAX,LG,JOECKEL,LUKE,79
JAX,C,LINDER,BRANDON,77
JAX,RG,CANN,AJ,69
JAX,RT,PARNELL,JERMEY,77
JAX,TE,LEWIS,MARCEDES,76
JAX,TE,THOMAS,JULIUS,83
JAX,QB,BORTLES,BLAKE,82
JAX,RB,YELDON,TJ,80
JAX,DT,JACKSON,MALIK,86
JAX,DT,MILLER,ROY,78
JAX,RDE,ODRICK,JARED,78
JAX,OLB,SMITH,TELVIN,80
JAX,MLB,POSLUSZNY,PAUL,78
JAX,OLB,SKUTA,DAN,79
JAX,LCB,HOUSE,DAVON,76
JAX,FS,GIPSON,TASHAUN,77
JAX,P,NORTMAN,BRAD,81
JAX,H,NORTMAN,BRAD,81
JAX,PK,MYERS,JASON,77
JAX,LS,TINKER,CARSON,45
JAX,PR,GREENE,RASHAD,70
JAX,KR,GRANT,COREY,59
JAX,PS,WYNN,SHANE,52
JAX,RES,BOWANKO,LUKE,76
JAX,SUS,COLVIN,AARON,78
KC,LWR,MACLIN,JEREMY,86
KC,RWR,CONLEY,CHRIS,70
KC,LT,FISHER,ERIC,78
KC,LG,EHINGER,PARKER,66
KC,C,MORSE,MITCH,73
KC,RG,DUVERNAY-TARDIF,LAURENT,73
KC,RT,SCHWARTZ,MITCHELL,86
KC,TE,KELCE,TRAVIS,88
KC,QB,SMITH,ALEX,82
KC,FB,SHERMAN,ANTHONY,81
KC,RB,CHARLES,JAMAAL,89
KC,LDE,HOWARD,JAYE,83
KC,NT,POE,DONTARI,85
KC,RDE,BAILEY,ALLEN,79
KC,LOLB,FORD,DEE,73
KC,LILB,JOHNSON,DERRICK,90
KC,ROLB,HALI,TAMBA,90
KC,LCB,PETERS,MARCUS,82
KC,SS,BERRY,ERIC,93
KC,FS,PARKER,RON,81
KC,RCB,GAINES,PHILLIP,75
KC,P,COLQUITT,DUSTIN,82
KC,H,COLQUITT,DUSTIN,82
KC,PK,SANTOS,CAIRO,76
KC,KO,SANTOS,CAIRO,76
KC,LS,WINCHESTER,JAMES,43
KC,PR,HILL,TYREEK,65
KC,KR,DAVIS,KNILE,73
KC,PS,DEVEY,JORDAN,65
RAM,LWR,BRITT,KENNY,80
RAM,RWR,AUSTIN,TAVON,80
RAM,PR,AUSTIN,TAVON,80
RAM,LT,ROBINSON,GREG,77
RAM,LG,WICHMANN,CODY,64
RAM,C,BARNES,TIM,69
RAM,RG,BROWN,JAMON,68
RAM,RT,SAFFOLD,RODGER,73
RAM,TE,HARKEY,CORY,80
RAM,TE,KENDRICKS,LANCE,75
RAM,QB,KEENUM,CASE,75
RAM,RB,GURLEY,TODD,85
RAM,LDE,HAYES,WILLIAM,85
RAM,LDT,DONALD,AARON,98
RAM,RDT,BROCKERS,MICHAEL,79
RAM,RDE,QUINN,ROBERT,89
RAM,MLB,OGLETREE,ALEC,79
RAM,WS,BARRON,MARK,75
RAM,LCB,JOHNSON,TRUMAINE,80
RAM,SS,MCDONALD,TJ,83
RAM,RCB,SENSABAUGH,COTY,71
RAM,CB,JOYNER,LAMARCUS,75
RAM,P,HEKKER,JOHNNY,82
RAM,H,HEKKER,JOHNNY,82
RAM,PK,ZUERLEIN,GREG,78
RAM,LS,MCQUAIDE,JAKE,44
RAM,KR,CUNNINGHAM,BENNY,74
RAM,PS,BATTLE,ISAIAH,68
RAM,PS,ARKIN,DAVID,63
RAM,RES,NORTH,MARQUEZ,63
MIA,LWR,PARKER,DEVANTE,77
MIA,RWR,STILLS,KENNY,74
MIA,SWR,LANDRY,JARVIS,87
MIA,PR,LANDRY,JARVIS,87
MIA,LT,ALBERT,BRANDEN,80
MIA,LG,TUNSIL,LAREMY,78
MIA,C,POUNCEY,MIKE,81
MIA,RG,BUSHROD,JERMON,81
MIA,TE,CAMERON,JORDAN,81
MIA,QB,TANNEHILL,RYAN,79
MIA,RB,FOSTER,ARIAN,81
MIA,LDE,WAKE,CAMERON,89
MIA,LDT,SUH,NDAMUKONG,93
MIA,RDT,MITCHELL,EARL,74
MIA,RDE,WILLIAMS,MARIO,81
MIA,WLB,JENKINS,JELANI,78
MIA,MLB,ALONSO,KIKO,76
MIA,SLB,MISI,KOA,85
MIA,LCB,MAXWELL,BYRON,76
MIA,SS,JONES,RESHAD,93
MIA,FS,ABDUL-QUDDUS,ISA,76
MIA,RCB,HOWARD,XAVIEN,72
MIA,P,DARR,MATT,76
MIA,H,DARR,MATT,76
MIA,PK,FRANKS,ANDREW,76
MIA,KO,FRANKS,ANDREW,76
MIA,LS,DENNEY,JOHN,48
MIA,KR,GRANT,JAKEEM,66
MIA,RES,EKPRE-OLOMU,IFO,67
MIN,LWR,DIGGS,STEFON,79
MIN,RWR,JOHNSON,CHARLES,74
MIN,LT,KALIL,MATT,80
MIN,LG,BOONE,ALEX,81
MIN,C,BERGER,JOE,83
MIN,RG,FUSCO,BRANDON,72
MIN,RT,SMITH,ANDRE,77
MIN,TE,RUDOLPH,KYLE,81
MIN,QB,HILL,SHAUN,68
MIN,FB,LINE,ZACH,72
MIN,RB,PETERSON,ADRIAN,91
MIN,LDE,ROBISON,BRIAN,79
MIN,NT,JOSEPH,LINVAL,89
MIN,DT,FLOYD,SHARRIF,83
MIN,RDE,GRIFFEN,EVERSON,88
MIN,SLB,BARR,ANTHONY,88
MIN,MLB,KENDRICKS,ERIC,76
MIN,WLB,GREENWAY,CHAD,78
MIN,LCB,NEWMAN,TERENCE,80
MIN,SS,SENDEJO,ANDREW,78
MIN,FS,SMITH,HARRISON,94
MIN,RCB,RHODES,XAVIER,80
MIN,P,LOCKE,JEFF,74
MIN,H,LOCKE,JEFF,74
MIN,PK,WALSH,BLAIR,81
MIN,KO,WALSH,BLAIR,81
MIN,LS,MCDERMOTT,KEVIN,50
MIN,PR,SHERELS,MARCUS,69
MIN,KR,PATTERSON,CORDARRELLE,70
MIN,PS,BEAVERS,WILLIE,69
MIN,RES,DUBOSE,BJ,63
MIN,RES,HEINICKE,TAYLOR,60
NE,LWR,AMENDOLA,DANNY,83
NE,RWR,EDELMAN,JULIAN,89
NE,PR,EDELMAN,JULIAN,89
NE,LT,SOLDER,NATE,84
NE,LG,THUNEY,JOE,70
NE,C,ANDREWS,DAVID,71
NE,RG,KARRAS,TED,66
NE,RT,CANNON,MARCUS,74
NE,TE,GRONKOWSKI,ROB,99
NE,TE,BENNETT,MARTELLUS,85
NE,QB,GAROPPOLO,JIMMY,72
NE,RB,BLOUNT,LEGARRETTE,81
NE,RB,WHITE,JAMES,75
NE,LDE,LONG,CHRIS,77
NE,DT,BRANCH,ALAN,77
NE,DT,BROWN,MALCOM,71
NE,RDE,SHEARD,JABAAL,88
NE,SLB,COLLINS,JAMIE,88
NE,WLB,FREENY,JONATHAN,69
NE,LCB,BUTLER,MALCOLM,85
NE,SS,CHUNG,PATRICK,86
NE,FS,MCCOURTY,DEVIN,91
NE,RCB,RYAN,LOGAN,84
NE,P,ALLEN,RYAN,78
NE,H,ALLEN,RYAN,78
NE,PK,GOSTKOWSKI,STEPHEN,85
NE,LS,CARDONA,JOE,40
NE,KR,SLATER,MATTHEW,69
NE,RES,LEWIS,DION,80
NE,SUS,BRADY,TOM,94
NO,LWR,COLEMAN,BRANDON,69
NO,RWR,COOKS,BRANDIN,83
NO,LT,ARMSTEAD,TERRON,92
NO,LG,LELITO,TIM,77
NO,C,UNGER,MAX,82
NO,RT,STRIEF,ZACH,82
NO,TE,FLEENER,COBY,84
NO,QB,BREES,DREW,90
NO,RB,INGRAM,MARK,83
NO,DT,DAVISON,TYELER,68
NO,DT,FAIRLEY,NICK,79
NO,RDE,JORDAN,CAMERON,90
NO,SLB,ANTHONY,STEPHONE,74
NO,MLB,LAURINAITIS,JAMES,73
NO,WLB,ELLERBE,DANNELL,77
NO,LCB,BREAUX,DELVIN,82
NO,SS,VACCARO,KENNY,80
NO,FS,BYRD,JAIRUS,83
NO,RCB,WILLIAMS,PJ,70
NO,P,MORSTEAD,THOMAS,83
NO,H,MORSTEAD,THOMAS,83
NO,KO,MORSTEAD,THOMAS,83
NO,LS,DRESCHER,JUSTIN,42
NO,PR,MURPHY,MARCUS,67
NO,KR,MURPHY,MARCUS,67
NO,PS,ALLEN,JACK,59
NO,PS,LAMPMAN,JAKE,61
NO,RES,SWANN,DAMIAN,68
NYG,RWR,SHEPARD,STERLING,74
NYG,WR,CRUZ,VICTOR,81
NYG,LT,FLOWERS,ERECK,76
NYG,LG,PUGH,JUSTIN,84
NYG,C,RICHBURG,WESTON,88
NYG,RG,JERRY,JOHN,73
NYG,RT,NEWHOUSE,MARSHALL,70
NYG,TE,DONNELL,LARRY,76
NYG,QB,MANNING,ELI,81
NYG,RB,JENNINGS,RASHAD,80
NYG,LDE,PIERRE-PAUL,JASON,85
NYG,LDT,HARRISON,DAMON,84
NYG,RDT,HANKINS,JOHNATHAN,81
NYG,RDE,VERNON,OLIVIER,91
NYG,SLB,KENNARD,DEVON,78
NYG,MLB,SHEPPARD,KELVIN,68
NYG,WLB,CASILLAS,JONATHAN,71
NYG,LCB,RODGERS-CROMARTIE,DOMINIQUE,87
NYG,SS,COLLINS,LANDON,75
NYG,FS,BERHE,NAT,66
NYG,RCB,JENKINS,JANORIS,85
NYG,P,WING,BRAD,76
NYG,H,WING,BRAD,76
NYG,PK,BROWN,JOSH,83
NYG,LS,DEOSSIE,ZAK,55
NYG,PR,HARRIS,DWAYNE,73
NYG,KR,HARRIS,DWAYNE,73
NYG,PS,MAPONGA,STANSLY,65
NYG,RES,JOHNSON,WILL,82
NYJ,LWR,MARSHALL,BRANDON,89
NYJ,RWR,DECKER,ERIC,87
NYJ,LT,CLADY,RYAN,84
NYJ,LG,CARPENTER,JAMES,79
NYJ,C,MANGOLD,NICK,83
NYJ,RG,WINTERS,BRIAN,70
NYJ,RT,IJALANA,BEN,69
NYJ,TE,DAVIS,KELLEN,69
NYJ,QB,FITZPATRICK,RYAN,79
NYJ,RB,FORTE,MATT,86
NYJ,LDE,WILLIAMS,LEONARD,81
NYJ,NT,MCLENDON,STEVE,78
NYJ,RDE,WILKERSON,MUHAMMAD,89
NYJ,OLB,RICHARDSON,SHELDON,86
NYJ,ILB,HENDERSON,ERIN,75
